"","purity","orthodoxy","grade","background","stream"
"103",-0.53488,0.62202,"Grade 9","Chinese","Gifted"
"104",0.4,0.61618,"Grade 11","Middle Eastern","Academic"
"105",-0.17209,0.83333,"Grade 10","Mixed","MaCS"
"106",0.32093,0.77535,"Grade 12","Filipino","Academic"
"107",-0.04186,0.80155,"Grade 10","East Asian","MaCS"
"108",0.2093,0.79124,"Grade 12","Other","MaCS"
"109",0.21395,0.80239,"Grade 11","Caucasian","MaCS"
"110",-0.01395,0.81058,"Grade 12","Mixed","MaCS"
"111",-0.0186,0.90284,"Grade 10","South Asian","MaCS"
"112",0.1907,0.81908,"Grade 11","Other","Academic"
"113",0.4093,0.7019,"Grade 10","Filipino","Academic"
"114",-0.16279,0.73006,"Grade 9","East Asian","Gifted"
"115",0.11163,0.73134,"Grade 11","Caucasian","MaCS"
"116",-0.03721,0.76094,"Grade 12","Other","Other"
"117",-0.07442,0.85996,"Grade 10","Korean","Gifted"
"118",0.26047,0.84108,"Grade 11","Caucasian","MaCS"
"119",0.44651,0.55139,"Grade 11","South Asian","MaCS"
"120",0.22791,0.55161,"Grade 11","Vietnamese","Gifted"
"121",0.0186,0.8001,"Grade 12","South Asian","MaCS"
