"","What grade are you in?","What is/are your favourite subjects?","What is your ethnic background?","What is your academic stream?","What departments do you work in at Mackenzie?","Ham between two slices of bread","Bacon, lettuce, and tomato between two slices of bread","Grilled cheese","Panini","Sub","Hamburger","Hotdog","Ice cream between two cookies","Buritto","Taco","Calzone","Quesadilla","Open-faced sandwich","Pizza","Two slices of pizza, face down, on top of each other","Slice of bread between two more slices of bread","Oreo cookie","Ritz cracker","Sushi burrito","Nigiri sushi","Slice of cheese","Salad with croutons","Brick between two slices of bread","Cold cuts","Tomato","Cheese","Lettuce","Mayonnaise","Mustard","Ketchup","Carrot","Peanut butter","Jelly","Olives","Fish","Egg","Fruit","Chicken foot","Rice","Potato","Soup","Pasta","Grass"
"123","Grade 10","Physical Education;Science","East Asian","MaCS","",8,10,10,10,10,10,7,9,6,6,6,5,3,0,0,0,10,4,2,0,0,0,10,10,10,10,10,10,8,8,5,7,7,0,0,8,5,0,0,0,0,0,0
"124","Grade 12","Math;Science","Other","MaCS","",10,10,10,9,8,5,2,1,0,0,4,0,10,0,0,8,0,0,0,0,0,0,6,10,10,10,10,10,10,3,2,8,8,0,3,3,0,0,0,0,0,0,0
"126","Grade 11","Math;Science;Social Sciences","Caucasian","MaCS","",8,10,10,10,10,10,3,10,0,0,0,0,1,0,0,0,6,6,0,0,0,0,0,10,10,10,10,10,10,5,0,10,10,0,0,0,0,0,0,0,0,0,0
"127","Grade 12","Arts;English","Mixed","MaCS","",10,10,10,10,10,9,2,2,2,2,2,2,7,3,1,1,1,2,2,2,2,3,10,10,10,10,10,10,9,2,2,10,10,3,2,10,3,2,2,2,2,2,2
"128","Grade 10","English;Physical Education;Science;Social Sciences","South Asian","MaCS","",10,10,10,10,10,10,0,8,2,0,6,0,0,0,2,0,8,5,0,0,0,0,0,10,10,10,10,10,10,10,4,10,10,9,10,10,3,0,0,2,0,0,0
"129","Grade 10","Math","Korean","MaCS","",3,8,1,6,10,10,10,0,10,7,7,4,3,0,6,0,1,1,0,0,0,0,0,10,10,10,5,3,1,10,0,6,4,1,1,3,0,0,1,2,1,5,0
"131","Grade 11","Physical Education;Science;Social Sciences","Other","Academic","",10,10,10,8,5,3,0,10,0,0,5,4,6,0,5,5,0,0,0,0,0,0,2,9,9,10,10,5,5,5,3,10,10,3,4,8,0,0,0,0,0,0,0
"132","Grade 10","Social Sciences","Filipino","Academic","",5,10,9,7,7,4,2,4,2,0,2,2,1,0,0,0,0,0,0,0,0,0,0,2,8,8,8,8,6,4,0,8,8,0,4,8,0,0,0,0,0,0,0
"133","Grade 9","Business;Computer Science and Technology;Co-op and Leadership;English;Math;Physical Education;Science","East Asian","Gifted","",0,10,10,10,10,10,0,10,0,0,0,0,10,0,10,10,10,10,0,0,0,0,10,10,10,10,10,10,10,10,0,10,10,10,10,10,0,0,0,10,0,0,0
"134","Grade 11","Math;Science","Caucasian","MaCS","",10,10,10,10,10,4,0,0,4,2,1,1,10,0,0,0,0,0,0,0,0,0,0,10,10,10,10,10,10,0,1,10,10,10,0,9,8,0,1,2,0,0,8
"135","Grade 12","Computer Science and Technology;Languages;Library;Special Education","Other","Other","",10,10,10,10,10,10,0,10,0,0,0,0,10,0,10,10,0,0,0,0,0,0,10,10,10,10,10,10,10,10,0,5,5,8,5,5,0,9,1,5,0,0,0
"136","Grade 10","Business","Korean","Gifted","",10,10,8,10,10,10,6,10,0,0,8,8,10,0,0,9,0,0,0,0,0,0,2,10,10,10,10,10,10,10,0,10,10,10,10,10,0,0,0,0,0,0,0
"137","Grade 11","Business;Science;Social Sciences","Caucasian","MaCS","",8,10,7,8,10,7,2,1,0,0,2,2,5,0,1,0,0,2,0,0,0,0,0,10,10,10,10,8,7,5,5,7,7,3,5,5,1,0,0,1,0,0,0
"138","Grade 11","English;Science;Social Sciences","South Asian","MaCS","",0,7,8,10,10,9,5,10,1,1,1,1,8,0,0,0,0,0,0,0,0,0,0,5,5,9,8,8,5,0,0,2,2,0,0,4,0,0,0,0,0,0,0
"139","Grade 11","Science;Social Sciences","Vietnamese","Gifted","",5,10,10,10,4,4,0,8,1,0,0,0,0,0,2,0,5,7,1,0,0,1,8,7,10,10,10,10,1,0,0,6,2,0,1,9,0,4,7,2,2,0,9
"140","Grade 12","Business;Math;Social Sciences","South Asian","MaCS","",10,10,7,10,10,7,5,0,3,3,5,3,10,0,0,0,0,0,0,0,0,0,0,10,10,10,10,10,10,5,5,7,7,10,10,10,0,8,0,6,0,0,0
